职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
大数据开发实习生（成都）,亚信科技(中国)有限公司,外资（欧美）,3-4.5千/月,成都,1,2021-10-26 09:31:59,,在校生/应届生,本科,通信/电信/网络设备
大数据储备人才（创业方向）,四川万联云网络科技有限公司,民营公司,4-6千/月,成都-青羊区,1,2021-10-26 09:12:13,绩效奖金 购买社保,在校生/应届生,大专,互联网/电子商务
大数据开发工程师(成都）,杭州东信北邮信息技术有限公司,国企,1-1.5万/月,成都,5,2021-10-26 09:06:20,五险一金 弹性工作 补充医疗保险 定期体检 年终奖金,3-4年经验,本科,通信/电信运营、增值服务
高级大数据开发工程师,亚信科技CMC,合资,1.2-2万/月,成都-高新区,6,2021-10-26 07:00:26,7险一金 月手机费报销 季度绩效 年底年终奖 国家正规休假 定期体检,5-7年经验,本科,计算机软件
初级大数据开发工程师,成都我行我数科技有限公司,合资,6-8千/月,成都,3,2021-10-25 15:05:05,,1年经验,本科,计算机服务(系统、数据服务、维修)
大数据开发工程师,成都我行我数科技有限公司,合资,1-1.5万/月,成都,5,2021-10-25 15:05:05,,3-4年经验,本科,计算机服务(系统、数据服务、维修)
大数据开发工程师,成都我行我数科技有限公司,合资,0.8-1.3万/月,成都,5,2021-10-25 15:05:05,,3-4年经验,本科,计算机服务(系统、数据服务、维修)
15575-《王者荣耀》大数据后台开发工程师（成都）,深圳市腾讯计算机系统有限公司,民营公司,,成都,5,2021-10-25 07:03:22,,3-4年经验,本科,互联网/电子商务
大数据开发工程师,成都甲乙方程科技有限公司,民营公司,0.9-1.2万/月,成都-武侯区,4,2021-10-19 10:21:21,五险一金 绩效奖金 年终奖金 岗位长期稳定 多元化收入 工作氛围良好 办公环境舒适 股票期权,2年经验,本科,计算机软件
大数据开发工程师,成都迈思信息技术有限公司,民营公司,1.5-2万/月,成都-青羊区,5,2021-10-15 14:32:59,五险一金 弹性工作 绩效奖金 年终奖金 交通补贴,3-4年经验,本科,计算机软件
大数据开发工程师,万达信息股份有限公司,上市公司,1.5-2万/月,成都-双流区,5,2021-10-12 09:52:26,五险一金 补充医疗保险 补充公积金 通讯补贴 专业培训 定期体检,3-4年经验,本科,计算机软件
中级大数据开发工程师,海南太美航空股份有限公司,民营公司,1-2万/月,成都,4,2021-10-09 10:23:45,五险一金 补充公积金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 弹性工作 定期体检,2年经验,大专,航天/航空
初级大数据开发工程师,海南太美航空股份有限公司,民营公司,1-2万/月,成都,3,2021-10-09 10:23:45,五险一金 补充公积金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 弹性工作 定期体检,1年经验,大专,航天/航空
高级大数据工程师,成都思腾数联信息技术有限公司,外资（欧美）,2-2.5万/月,成都-高新区,6,2021-10-26 11:59:19,五险一金 补充公积金 绩效奖金 交通补贴 餐饮补贴 弹性工作,5-7年经验,本科,计算机软件
大数据研发工程师,民航成都电子技术有限责任公司,国企,12-25万/年,成都,10,2021-10-26 11:17:00,免费班车 交通补贴 餐饮补贴 专业培训 定期体检 绩效奖金 年终奖金 弹性工作 各类社保 出差补贴,无需经验,本科,电子技术/半导体/集成电路
Java中级,成都分期学科技有限公司,民营公司,1-1.5万/月,成都-高新区,5,2021-10-26 10:27:57,,3-4年经验,大专,计算机软件
java后端开发工程师,成都分期学科技有限公司,民营公司,6-8千/月,成都-高新区,4,2021-10-26 10:27:57,,2年经验,大专,计算机软件
大数据研发工程师,成都鲲摇物联网有限责任公司,民营公司,4.5-6千/月,成都-武侯区,10,2021-10-26 10:20:36,五险一金 补充公积金 员工旅游 出国机会 定期体检 弹性工作 专业培训 绩效奖金 年终奖金 补充医疗保险,无需经验,大专,互联网/电子商务
Python开发工程师（可转正）,成都鲲摇物联网有限责任公司,民营公司,4.5-6千/月,成都-武侯区,10,2021-10-26 10:20:36,五险一金 补充公积金 员工旅游 出国机会 定期体检 弹性工作 专业培训 绩效奖金 年终奖金 补充医疗保险,无需经验,招若干人,互联网/电子商务
中级大数据工程师,倍智智能数据运营有限公司,国企,1.4-1.8万/月,成都-高新区,6,2021-10-26 09:52:14,,5-7年经验,本科,计算机软件
Java项目经理(J10216),四川天翼网络服务有限公司,民营公司,1.3-1.6万/月,成都-高新区,5,2021-10-26 09:22:00,带薪年假 五险一金 节日福利 餐饮补贴 绩效奖金,3-4年经验,本科,通信/电信运营、增值服务
大数据架构师,成都海德在线教育科技有限公司,民营公司,800元/天,成都-锦江区,6,2021-10-26 09:15:02,,5-7年经验,本科,教育/培训/院校
资深大数据平台基础设施管理员,成都聚思力信息技术有限公司,外资（欧美）,2-2.5万/月,成都,5,2021-10-26 09:13:36,五险一金 弹性工作 周末双休 带薪年假 绩效奖金 节日福利 专业培训 交通补贴 餐饮补贴 补充医疗保险,3-4年经验,本科,计算机软件
资深/高级大数据工程师,亚信科技CMC,合资,1-2万/月,武汉,5,2021-10-26 07:00:31,五险一金 补充医疗保险 通讯补贴 专业培训 年终奖金 定期体检 绩效奖金,3-4年经验,本科,计算机软件
资深/高级大数据工程师,亚信科技CMC,合资,1.3-2.1万/月,成都-高新区,5,2021-10-26 07:00:31,五险一金 补充医疗保险 通讯补贴 专业培训 年终奖金 定期体检 绩效奖金,3-4年经验,本科,计算机软件
数据中台Leader-飞书人力套件,字节跳动,民营公司,5-10万/月,成都,6,2021-10-26 01:13:17,六险一金 股票期权 团队氛围好 扁平管理 大牛带队 免费三餐 租房补贴,5-7年经验,本科,互联网/电子商务
高级大数据工程师,成都卡莱博尔信息技术股份有限公司,民营公司,25-35万/年,成都-高新区,6,2021-10-25 15:00:01,,5-7年经验,本科,计算机软件
大数据算法工程师,成都国铁电气设备有限公司,民营公司,15-28万/年,成都-双流区,5,2021-10-25 09:59:28,五险一金 交通补贴 年终奖金 免费工作餐,3-4年经验,硕士,电子技术/半导体/集成电路
大数据总监（工业大数据）,成都星云智联科技有限公司,国企,2-4万/月,成都-金牛区,8,2021-10-25 09:09:25,五险一金 专业培训 绩效奖金 年终奖金 定期体检,10年以上经验,大专,计算机软件
31504-大数据产品高级交付架构师（成都）,深圳市腾讯计算机系统有限公司,民营公司,,成都,5,2021-10-25 07:03:41,,3-4年经验,本科,互联网/电子商务
大数据,西安万兴服务外包有限责任公司,民营公司,0.8-1.5万/月,成都-武侯区,5,2021-10-20 09:17:14,五险一金 定期体检 通讯补贴 带薪年假 专业培训 绩效奖金 补充医疗保险 员工旅游,3-4年经验,本科,外包服务
数据开发工程师,成都塔斯克信息技术有限公司,民营公司,1-1.5万/月,成都-高新区,5,2021-10-19 09:53:55,,3-4年经验,本科,计算机软件
大数据系统架构师,成都维拓寰宇信息科技有限公司,民营公司,25-35万/年,成都-高新区,8,2021-10-19 09:12:41,,10年以上经验,本科,计算机服务(系统、数据服务、维修)
大数据开发-英语读写-在家办公,成都迈思信息技术有限公司,民营公司,3-4万/月,上海,6,2021-10-15 14:32:50,五险一金 绩效奖金 年终奖金,5-7年经验,大专,计算机软件
大数据平台架构师,中国电子科技集团公司第十研究所,事业单位,1.5-2万/月,成都-金牛区,5,2021-10-14 18:14:38,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检 住房补贴 单身宿舍,3-4年经验,硕士,电子技术/半导体/集成电路
大数据挖掘工程师,贵州海康交通大数据有限公司,民营公司,1.2-1.8万/月,成都-天府新区,5,2021-10-12 11:38:52,,3-4年经验,本科,互联网/电子商务
大数据工程师(J10011),中电万维信息技术有限责任公司,国企,1-1.5万/月,成都-高新区,5,2021-10-11 20:33:58,五险一金 专业培训 年终奖金 防暑费 通讯补贴 餐饮补贴 带薪年假 补充医疗保险 绩效奖金 定期体检,3-4年经验,本科,计算机软件
Data Scientist (数据分析),宏利金融全球服务中心,外资（欧美）,1.5-2万/月,成都,5,2021-09-26 16:39:56,,3-4年经验,本科,金融/投资/证券
遥感影像数据处理工程师,北京超图软件股份有限公司,上市公司,0.8-1.5万/月,成都-双流区,4,2021-09-26 16:00:01,五险一金 补充医疗保险 股票期权 交通补贴 通讯补贴 专业培训,2年经验,本科,计算机软件
高级数据工程师,成都数之联科技有限公司,民营公司,1.5-2.5万/月,成都-高新区,5,2021-09-07 15:19:41,五险一金 交通补贴 年终奖金 餐饮补贴 绩效奖金,3-4年经验,本科,计算机软件
数据挖掘工程师,四川铁骑力士实业有限公司成都分公司（集团总部）,民营公司,1.2-1.5万/月,成都,5,2021-09-02 09:58:06,五险一金 包吃包住 周末双休 重大项目,3-4年经验,本科,农/林/牧/渔
Python开发工程师,成都鲲摇物联网有限责任公司,民营公司,4.5-6千/月,成都-武侯区,10,2021-09-02 08:59:07,五险一金 补充公积金 员工旅游 出国机会 定期体检 弹性工作 专业培训 绩效奖金 年终奖金 补充医疗保险,无需经验,招若干人,互联网/电子商务
Python开发工程师（可转正）,成都鲲摇物联网有限责任公司,民营公司,3-4.5千/月,成都-武侯区,10,2021-09-02 08:55:37,五险一金 补充公积金 员工旅游 出国机会 定期体检 弹性工作 专业培训 绩效奖金 年终奖金 补充医疗保险,无需经验,招3人,互联网/电子商务
