职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
软件工程师（AI）,湖南国科微电子股份有限公司,上市公司,2-2.5万/月,成都,5,2021-09-23 10:18:04,五险一金 定期体检 年终奖金 节日福利 补充医疗保险 专业培训 弹性工作 股票期权 绩效奖金,3-4年经验,本科,电子技术/半导体/集成电路
计算机视觉研究员,成都通甲优博科技有限责任公司,民营公司,30-40万/年,成都-双流区,4,2021-08-30 11:48:05,五险一金 员工旅游 餐饮补贴 专业培训 出国机会 绩效奖金 年终奖金 股票期权 弹性工作 定期体检,2年经验,博士,计算机软件
导航规划算法工程师（成都）,深圳市普渡科技有限公司,民营公司,1.5-3万/月,成都,1,2021-10-26 05:08:15,,在校生/应届生,本科,计算机硬件
图像算法工程师（成都）,深圳市普渡科技有限公司,民营公司,1.5-3万/月,成都,1,2021-10-26 05:07:57,,在校生/应届生,本科,计算机硬件
算法工程师,四川长虹电子控股集团有限公司,国企,1.5-2万/月,成都,1,2021-10-26 04:41:21,,在校生/应届生,硕士,电子技术/半导体/集成电路
雷达算法工程师,四川长虹电子控股集团有限公司,国企,1-1.5万/月,成都,1,2021-10-26 04:41:21,,在校生/应届生,硕士,电子技术/半导体/集成电路
高级图像算法工程师,四川长虹电子控股集团有限公司,国企,1-1.5万/月,成都,1,2021-10-26 04:41:10,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法工程师,四川长虹电子控股集团有限公司,国企,1-1.5万/月,成都,1,2021-10-26 04:41:10,,在校生/应届生,硕士,电子技术/半导体/集成电路
语音算法工程师,四川长虹电子控股集团有限公司,国企,1-1.5万/月,成都,1,2021-10-26 04:41:09,,在校生/应届生,硕士,电子技术/半导体/集成电路
视觉SLAM算法工程师,四川长虹电子控股集团有限公司,国企,1.5-3万/月,成都,1,2021-10-26 04:41:08,,在校生/应届生,博士,电子技术/半导体/集成电路
激光SLAM及导航算法工程师,四川长虹电子控股集团有限公司,国企,1-1.5万/月,成都,1,2021-10-26 04:41:04,,在校生/应届生,硕士,电子技术/半导体/集成电路
软件工程师（算法方向）（工作地：苏州）,苏州博古特智造有限公司,民营公司,0.8-1.2万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,本科,机械/设备/重工
算法工程师（图像）,成都数之联科技有限公司,民营公司,1-1.5万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,计算机软件
算法工程师（机器学习）,成都数之联科技有限公司,民营公司,1-1.5万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,计算机软件
算法工程师（NLP）,成都数之联科技有限公司,民营公司,1-1.5万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,计算机软件
高级算法工程师,成都数之联科技有限公司,民营公司,1.5-2万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,博士,计算机软件
导航算法工程师（成都）,中关村空间信息产业技术联盟,民营公司,1.5-2万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,计算机软件
卫星通信算法工程师（成都）,中关村空间信息产业技术联盟,民营公司,1.5-2万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,计算机软件
算法设计工程师 — 光子链路仿真（成都）,深圳逍遥科技有限公司,民营公司,1.2-2.4万/月,成都,1,2021-10-26 10:07:41,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法设计工程师 — CAD图形引擎（成都）,深圳逍遥科技有限公司,民营公司,1.2-2.4万/月,成都,1,2021-10-26 10:07:41,,在校生/应届生,本科,电子技术/半导体/集成电路
算法设计工程师 — 光子链路仿真（成都）,深圳逍遥科技有限公司,民营公司,1.2-2.4万/月,成都,1,2021-10-26 10:07:41,,在校生/应届生,硕士,电子技术/半导体/集成电路
汽车雷达算法工程师（工作地：上海）（成都）,常州星宇车灯股份有限公司,上市公司,1-1.5万/月,成都,1,2021-10-26 09:53:03,,在校生/应届生,博士,汽车零配件
AI算法工程师（工作地点：常州）（成都）,常州星宇车灯股份有限公司,上市公司,1-1.5万/月,成都,1,2021-10-26 09:51:48,,在校生/应届生,硕士,汽车零配件
导航算法工程师（工作地西安）（成都）,西安因诺航空科技有限公司,民营公司,1.5-2.5万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,航天/航空
控制算法工程师（成都）,西安因诺航空科技有限公司,民营公司,1.5-2.5万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,航天/航空
通信算法工程师（成都）,四川长虹电子控股集团有限公司,国企,0.8-1.6万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,博士,电子技术/半导体/集成电路
语音信号处理/语音识别算法工程师（成都）,深圳市普渡科技有限公司,民营公司,1.5-3万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,本科,计算机硬件
AI算法工程师（成都）,深圳市普渡科技有限公司,民营公司,1.5-3万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,本科,计算机硬件
运动控制算法工程师（成都）,深圳市普渡科技有限公司,民营公司,1.5-3万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,本科,计算机硬件
图像算法工程师,四川长虹电子控股集团有限公司,国企,1-1.5万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,电子技术/半导体/集成电路
图像算法工程师,四川长虹电子控股集团有限公司,国企,6-8千/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法工程师（成都）,四川长虹电子控股集团有限公司,国企,1-1.5万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法工程师（成都）,四川长虹电子控股集团有限公司,国企,0.8-1万/月,成都,1,2021-10-26 04:01:52,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法工程师,四川长虹电子控股集团有限公司,国企,0.6-1万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法工程师,四川长虹电子控股集团有限公司,国企,5.5-9千/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法工程师,四川长虹电子控股集团有限公司,国企,1.5-2万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,博士,电子技术/半导体/集成电路
算法工程师,四川长虹电子控股集团有限公司,国企,0.7-1.2万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,本科,电子技术/半导体/集成电路
视觉SLAM算法工程师,四川长虹电子控股集团有限公司,国企,1.5-3万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,博士,电子技术/半导体/集成电路
雷达算法工程师,四川长虹电子控股集团有限公司,国企,0.6-1万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法工程师,四川长虹电子控股集团有限公司,国企,2-2.5万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,博士,电子技术/半导体/集成电路
通信与信号算法工程师,中国电子科技集团公司第十研究所,事业单位,1-1.5万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
数据算法工程师,中国电子科技集团公司第十研究所,事业单位,1-1.5万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
软件算法工程师,中国电子科技集团公司第十研究所,事业单位,1-1.5万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
GNSS基带算法工程师（成都）,翱捷科技股份有限公司,民营公司,1.5-3万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法工程师 (实习生),成都真信智能科技有限公司,民营公司,6-8千/月,成都-金牛区,1,2021-10-26 14:00:01,五险一金 员工旅游 定期体检 绩效奖金 年终奖金 节日福利 生日福利 周末双休 早九晚五,在校生/应届生,大专,电子技术/半导体/集成电路
导航算法工程师（2022届校招）,成都华力创通科技有限公司,民营公司,15-20万/年,成都-天府新区,1,2021-10-26 09:55:17,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 股票期权 弹性工作 定期体检,在校生/应届生,硕士,电子技术/半导体/集成电路
雷达算法工程师,成都汇蓉国科微系统技术有限公司,民营公司,1.5-3万/月,成都-高新区,1,2021-10-26 09:18:15,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 项目奖金 节日福利,在校生/应届生,硕士,电子技术/半导体/集成电路
推荐算法工程师 (MJ001059),慧择网,上市公司,1-1.5万/月,成都-高新区,1,2021-10-26 09:09:50,,在校生/应届生,本科,互联网/电子商务
初级算法工程师,成都心吉康科技有限公司,民营公司,1.5-2万/月,成都-高新区,1,2021-10-26 08:55:22,,在校生/应届生,硕士,医疗设备/器械
初级算法工程师（应届生）,成都心吉康科技有限公司,民营公司,1.5-2万/月,成都-高新区,1,2021-10-26 08:55:01,,在校生/应届生,硕士,医疗设备/器械
机器人算法工程师,北京御芯微科技有限公司,民营公司,0.7-1.2万/月,成都-高新区,1,2021-10-26 08:38:16,,在校生/应届生,本科,电子技术/半导体/集成电路
图像算法工程师（实习生）,深圳安智杰科技有限公司,民营公司,3-5千/月,成都-郫都区,1,2021-10-25 20:09:50,,在校生/应届生,本科,电子技术/半导体/集成电路
雷达算法工程师（实习生）,深圳安智杰科技有限公司,民营公司,3-5千/月,成都-郫都区,1,2021-10-25 20:09:50,,在校生/应届生,本科,电子技术/半导体/集成电路
算法助理工程师,深圳市航盛电子股份有限公司,民营公司,1-1.5万/月,成都-高新区,1,2021-10-25 17:23:10,五险一金 定期体检 弹性工作 高温假 餐饮补贴 专业培训,在校生/应届生,硕士,汽车
算法工程师（实习培养）,成都蓝色起源科技有限公司,民营公司,3-4.5千/月,成都-武侯区,1,2021-10-25 15:48:57,五险一金 绩效奖金 餐饮补贴 周末双休 节日福利 弹性工作 年底双薪,在校生/应届生,本科,计算机软件
视觉算法工程师（储备）,成都中嘉微视科技有限公司,合资,0.6-1万/月,成都-郫都区,1,2021-10-25 10:14:15,五险一金 免费班车 定期体检 定期团建,在校生/应届生,硕士,电子技术/半导体/集成电路
信号处理/算法工程师,成都博宇利华科技有限公司,民营公司,4-8千/月,成都-武侯区,1,2021-10-25 09:23:42,,在校生/应届生,本科,计算机软件
图像算法工程师,杭州雄迈集成电路技术股份有限公司,民营公司,0.5-1万/月,成都-高新区,1,2021-10-23 17:31:51,五险一金 绩效奖金 定期体检 餐饮补贴 员工旅游 股票期权 专业培训 年终奖金,在校生/应届生,招2人,电子技术/半导体/集成电路
算法工程师,成都众享天地网络科技有限公司,民营公司,1.5-3万/月,成都-金牛区,1,2021-10-22 09:39:33,员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作 五险一金 定期体检,在校生/应届生,本科,计算机软件
通信算法工程师（2022届校招）,成都华力创通科技有限公司,民营公司,15-20万/年,成都-天府新区,1,2021-10-21 09:54:57,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 股票期权 弹性工作 定期体检,在校生/应届生,硕士,电子技术/半导体/集成电路
算法工程师（图像、深度学习）,成都交大光芒科技股份有限公司,国企,1-1.8万/月,成都,1,2021-10-18 11:00:33,五险一金 带薪年假 绩效奖金 年终奖金 补充医疗保险 定期体检 餐饮补贴,在校生/应届生,硕士,计算机服务(系统、数据服务、维修)
算法工程师,北京德辰科技股份有限公司,民营公司,1-1.8万/月,成都-高新区,1,2021-09-24 10:30:42,五险一金 餐饮补贴 交通补贴 年终奖金 员工旅游 专业培训 带薪年假 弹性工作 定期体检 股票期权,在校生/应届生,硕士,电子技术/半导体/集成电路
校园招聘-算法工程师-ISP,湖南国科微电子股份有限公司,上市公司,1-2.5万/月,成都-高新区,1,2021-09-23 10:18:10,五险一金 补充医疗保险 补充公积金 绩效奖金 上市公司,在校生/应届生,硕士,电子技术/半导体/集成电路
校园招聘-算法工程师-编解码,湖南国科微电子股份有限公司,上市公司,1-2.5万/月,成都-高新区,1,2021-09-23 10:18:08,五险一金 补充医疗保险 补充公积金 绩效奖金 上市公司,在校生/应届生,硕士,电子技术/半导体/集成电路
校园招聘-算法工程师-编解码,湖南国科微电子股份有限公司,上市公司,1-2.5万/月,成都-高新区,1,2021-09-23 10:18:08,五险一金 补充医疗保险 补充公积金 绩效奖金 上市公司,在校生/应届生,硕士,电子技术/半导体/集成电路
校园招聘-算法工程师-ISP,湖南国科微电子股份有限公司,上市公司,1-2.5万/月,成都-高新区,1,2021-09-23 10:18:06,五险一金 补充医疗保险 补充公积金 绩效奖金 上市公司,在校生/应届生,硕士,电子技术/半导体/集成电路
雷达算法应用研究工程师,成都圭目机器人有限公司,民营公司,1.5-2.5万/月,成都-龙泉驿区,1,2021-09-22 18:13:35,五险一金 补充医疗保险 交通补贴 餐饮补贴 年终奖金 绩效奖金 股票期权 专业培训 员工旅游 定期体检,在校生/应届生,硕士,计算机软件
2022应届生-计算机视觉算法工程师,昆仑数智科技有限责任公司,国企,0.7-1.4万/月,成都-天府新区,1,2021-09-22 17:00:01,五险一金 补充医疗保险 免费班车 专业培训 定期体检 通讯补贴,在校生/应届生,博士,计算机软件
算法工程师（应届）,四川创智联恒科技有限公司,上市公司,1-2万/月,成都-高新区,1,2021-09-03 04:01:31,周末双休 带薪年假 五险一金 交通补贴 餐饮补贴 通讯补贴,在校生/应届生,硕士,通信/电信/网络设备
视觉工程师,成都数之联科技有限公司,民营公司,6-8千/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,本科,计算机软件
图像处理工程师,中国电子科技集团公司第十研究所,事业单位,1.3-2万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
算法实习生-成都,中建材信息技术股份有限公司,国企,2-4千/月,成都-青羊区,1,2021-10-26 09:04:05,五险一金 补充医疗保险 绩效奖金 年终奖金 定期体检,在校生/应届生,硕士,计算机硬件
样本实习生,中建材信息技术股份有限公司,国企,3-4.5千/月,成都-青羊区,1,2021-10-26 09:03:37,五险一金 补充医疗保险 绩效奖金 年终奖金 定期体检,在校生/应届生,本科,计算机硬件
算法实习生,中建材信息技术股份有限公司,国企,3-4.5千/月,成都-青羊区,1,2021-10-26 09:03:37,五险一金 补充医疗保险 绩效奖金 年终奖金 定期体检,在校生/应届生,本科,计算机硬件
（2022届）算法设计（图像类）,杭州雄迈集成电路技术股份有限公司,民营公司,0.8-1.6万/月,成都-高新区,1,2021-10-23 17:31:51,五险一金 绩效奖金 定期体检 餐饮补贴 员工旅游 股票期权 专业培训 年终奖金,在校生/应届生,本科,电子技术/半导体/集成电路
算法实习生,成都圭目机器人有限公司,民营公司,3-5千/月,成都-龙泉驿区,1,2021-09-22 17:32:44,,在校生/应届生,本科,计算机软件
深度学习实习生,成都通甲优博科技有限责任公司,民营公司,4-6千/月,成都-双流区,1,2021-08-30 11:48:05,,在校生/应届生,本科,计算机软件
音频算法工程师（成都）,深圳市普渡科技有限公司,民营公司,1.5-3万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,本科,计算机硬件
视频算法工程师,瑞晟微电子(苏州)有限公司,外资（非欧美）,1.5-3万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
系统芯片算法/架构工程师（C成都）,芯原微电子（上海）股份有限公司,外资（欧美）,1.5-2.5万/月,成都,1,2021-08-31 04:01:17,,在校生/应届生,硕士,电子技术/半导体/集成电路
图形处理器（GPU）算法/架构工程师（C成都）,芯原微电子（上海）股份有限公司,外资（欧美）,1.5-2.5万/月,成都,1,2021-08-30 04:01:10,,在校生/应届生,硕士,电子技术/半导体/集成电路
人工智能（AI）算法/架构工程师（C成都）,芯原微电子（上海）股份有限公司,外资（欧美）,1.5-2.5万/月,成都,1,2021-08-30 04:01:10,,在校生/应届生,硕士,电子技术/半导体/集成电路
视频处理器（VPU）算法/架构工程师（C成都）,芯原微电子（上海）股份有限公司,外资（欧美）,1.5-2.5万/月,成都,1,2021-08-30 04:01:10,,在校生/应届生,硕士,电子技术/半导体/集成电路
数字信号处理器（DSP）算法/架构工程师（C成都）,芯原微电子（上海）股份有限公司,外资（欧美）,1.5-2.5万/月,成都,1,2021-08-30 04:01:10,,在校生/应届生,硕士,电子技术/半导体/集成电路
显示处理器（DPU）算法/架构工程师（C成都）,芯原微电子（上海）股份有限公司,外资（欧美）,1.5-2.5万/月,成都,1,2021-08-30 04:01:10,,在校生/应届生,硕士,电子技术/半导体/集成电路
基带信号处理工程师,中国电子科技集团公司第十研究所,事业单位,1-1.5万/月,成都,1,2021-10-26 05:14:01,,在校生/应届生,硕士,电子技术/半导体/集成电路
电子对抗信号处理工程师,中国电子科技集团公司第十研究所,事业单位,1-1.5万/月,成都,1,2021-10-26 05:13:59,,在校生/应届生,硕士,电子技术/半导体/集成电路
抗干扰信号处理工程师,中国电子科技集团公司第十研究所,事业单位,1-1.5万/月,成都,1,2021-10-26 05:13:53,,在校生/应届生,硕士,电子技术/半导体/集成电路
阵列信号处理工程师,中国电子科技集团公司第十研究所,事业单位,1-1.5万/月,成都,1,2021-10-26 05:13:49,,在校生/应届生,硕士,电子技术/半导体/集成电路
机械臂规划工程师（成都）,深圳市普渡科技有限公司,民营公司,1.5-3万/月,成都,1,2021-10-26 05:09:30,,在校生/应届生,本科,计算机硬件
信号处理工程师,成都国星通信有限公司,民营公司,1.3-1.7万/月,成都,1,2021-10-26 04:43:51,,在校生/应届生,硕士,通信/电信/网络设备
信号处理工程师（工作地：苏州）（成都）,思必驰科技股份有限公司,民营公司,1-1.8万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,本科,计算机软件
雷达信号处理工程师,四川长虹电子控股集团有限公司,国企,1-1.5万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
信号处理工程师,中国电子科技集团公司第十研究所,事业单位,1.3-2万/月,成都,1,2021-10-26 04:01:15,,在校生/应届生,硕士,电子技术/半导体/集成电路
信号处理架构师（校招）,成都汇蓉国科微系统技术有限公司,民营公司,1.5-3万/月,成都-高新区,1,2021-10-26 09:18:15,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检 项目奖金 节日福利,在校生/应届生,硕士,电子技术/半导体/集成电路
样本标注实习生-成都,中建材信息技术股份有限公司,国企,2-4千/月,成都-青羊区,1,2021-10-26 09:04:05,五险一金 补充医疗保险 绩效奖金 年终奖金 定期体检,在校生/应届生,本科,计算机硬件
（2022届）算法设计（通信类）,杭州雄迈集成电路技术股份有限公司,民营公司,0.8-1.6万/月,成都-高新区,1,2021-10-23 17:31:51,五险一金 绩效奖金 定期体检 餐饮补贴 员工旅游 股票期权 专业培训 年终奖金,在校生/应届生,本科,电子技术/半导体/集成电路
2022届成都纵横自动化技术股份有限公司校招岗位,成都纵横自动化技术股份有限公司,民营公司,0.7-1.5万/月,成都-高新区,1,2021-09-01 10:24:49,五险一金 年终奖金 定期体检 餐饮补贴 通讯补贴 专业培训 交通补贴,在校生/应届生,本科,仪器仪表/工业自动化
图像算法工程师,成都国铁电气设备有限公司,民营公司,2-4万/年,成都-双流区,4,2021-10-26 15:38:20,五险一金 年终奖金 节日福利 专业培训 带薪假 交通补贴 餐饮补贴,2年经验,硕士,电子技术/半导体/集成电路
算法专家（图像后处理）,广东欧浮瑞企业管理咨询有限公司,民营公司,7-10万/月,成都-金牛区,6,2021-10-26 08:22:16,五险一金 餐饮补贴 交通补贴 年终奖金 定期体检,5-7年经验,硕士,计算机软件
图像算法实习生,北京鼎汉检测技术有限公司成都分公司,民营公司,1.5-2千/月,成都-高新区,1,2021-10-26 10:25:52,五险一金 定期体检 专业培训 年终奖金 员工旅游,在校生/应届生,本科,交通/运输/物流
