职位名字,公司名字,公司类型,薪资,地区,工作年限,发布日期,福利,经验,学历,所属行业
工程中心-运筹优化算法工程师,中国民用航空总局第二研究所,国企,10-15万/年,成都,10,2021-09-25 18:31:42,定期体检 周末双休 年终奖金 补充医疗保险 绩效奖金 五险一金 出国机会,无需经验,硕士,交通/运输/物流
深度学习算法加速工程师,湖南国科微电子股份有限公司,上市公司,2-4万/月,成都-高新区,4,2021-09-23 10:18:06,五险一金 补充医疗保险 补充公积金 绩效奖金 上市公司,2年经验,本科,电子技术/半导体/集成电路
校园招聘-ISP算法工程师,湖南国科微电子股份有限公司,上市公司,1-1.5万/月,成都-高新区,10,2021-09-23 10:18:06,五险一金 补充医疗保险 补充公积金 绩效奖金 定期体检,无需经验,本科,电子技术/半导体/集成电路
校园招聘-ISP算法工程师,湖南国科微电子股份有限公司,上市公司,1-1.5万/月,成都-高新区,10,2021-09-23 10:18:06,五险一金 补充医疗保险 补充公积金 绩效奖金 定期体检,无需经验,本科,电子技术/半导体/集成电路
高级图像算法工程师（ISP）,湖南国科微电子股份有限公司,上市公司,2-4万/月,成都-高新区,4,2021-09-23 10:18:05,五险一金 补充医疗保险 补充公积金 绩效奖金 上市公司,2年经验,本科,电子技术/半导体/集成电路
深度学习算法加速工程师,湖南国科微电子股份有限公司,上市公司,2-4万/月,深圳,4,2021-09-23 10:18:01,五险一金 补充医疗保险 补充公积金 绩效奖金 上市公司,2年经验,本科,电子技术/半导体/集成电路
惯性导航算法工程师,成都天合世纪科技有限责任公司,民营公司,1-1.5万/月,成都-高新区,10,2021-09-07 10:04:38,五险一金 通讯补贴 交通补贴 年终奖金,无需经验,本科,电子技术/半导体/集成电路
人工智能专家,四川伯乐帮科技有限公司,民营公司,3-6万/月,成都-龙泉驿区,6,2021-10-26 11:26:45,员工旅游 弹性工作 绩效奖金,5-7年经验,本科,互联网/电子商务
卫星姿轨控系统专家,四川伯乐帮科技有限公司,民营公司,2.5-5万/月,成都-高新区,5,2021-10-26 11:25:10,员工旅游 弹性工作 绩效奖金 五险一金 年终奖金,3-4年经验,本科,互联网/电子商务
三维图形算法研究员,四川伯乐帮科技有限公司,民营公司,2-4万/月,成都-高新区,5,2021-10-26 11:20:45,周末双休 弹性工作 氛围好,3-4年经验,硕士,互联网/电子商务
ASR工程师(J10186),深圳市普渡科技有限公司,民营公司,2.5-4万/月,深圳,5,2021-10-26 10:03:01,,3-4年经验,本科,计算机硬件
TTS工程师(J10117),深圳市普渡科技有限公司,民营公司,2.5-4万/月,深圳,5,2021-10-26 10:03:01,,3-4年经验,本科,计算机硬件
高性能算子库开发工程师(J10422),深圳云天励飞技术有限公司,民营公司,3-4万/月,成都-双流区,6,2021-10-26 10:02:50,年终奖金 六险一金 定期体检 餐饮补贴,5-7年经验,本科,计算机软件
图像识别工程师,四川东方水利智能装备工程股份有限公司,民营公司,0.8-1.5万/月,成都-成华区,4,2021-10-26 09:22:11,五险一金 补充医疗保险 交通补贴 年终奖金 绩效奖金 餐饮补贴 专业培训,2年经验,本科,机械/设备/重工
