Aobject_id,lastmodified_time_range,Aexception_type,f0410_name,lastoccur_region,lastappeared_id,lat,username,M,Bexception_type,company,machine_type,machine_mark,isCivilPlane,gjdq,importancelecel,course,category,name0410en,name0410,lastmodified_time,isCivilPlanePossibility,long,name0410Possibility,Bobject_id,lastmodified_date,id,importancelevel
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128",12530,34.147373,"\"null\"",1.60345062E9,盘旋异常,"\"null\"",战斗机,C202,false,"\"null\"","\"null\"",19.747555,异常,Lincoln,林肯,10:56:31,0,125.826195,0.107854545,36,2020-10-23,12530,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.03262,"\"null\"",1.60344998E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",255.37898,未知,"\"null\"","\"null\"",10:46:31,0,125.50112,0,63,2020-10-23,12557,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",32.81932,"\"null\"",1.60345165E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",13.510947,未知,"\"null\"","\"null\"",11:14:31,0,125.34001,0,37,2020-10-23,12531,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",31.303143,"\"null\"",1.60345126E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",320.975,异常,"\"null\"","\"null\"",11:08:31,0,124.373985,0,39,2020-10-23,12533,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",33.60578,"\"null\"",1.60345037E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",334.38922,未知,"\"null\"","\"null\"",10:52:31,0,125.30883,0,40,2020-10-23,12534,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",28.318068,"\"null\"",1.60345101E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",248.32268,异常,"\"null\"","\"null\"",11:04:31,0,125.240555,0,78,2020-10-23,12572,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",32.135853,"\"null\"",1.60345178E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",262.82156,异常,"\"null\"","\"null\"",11:16:31,0,123.1577,0,50,2020-10-23,12544,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",29.915365,"\"null\"",1.60345126E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",236.26845,异常,"\"null\"","\"null\"",11:08:31,0,124.13221,0,60,2020-10-23,12554,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",32.544224,"\"null\"",1.60345152E9,,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",281.34503,未知,"\"null\"","\"null\"",11:12:31,0,125.3083,0,67,2020-10-23,12561,
,"2020-10-23 00:00:00,2020-10-24 00:00:00",,,"122.26 27.128,122.26 32.426,130.17 32.426,130.17 27.128,122.26 27.128","\"null\"",30.212175,"\"null\"",1.60345062E9,盘旋异常,"\"null\"","\"null\"","\"null\"","\"null\"","\"null\"","\"null\"",358.52805,异常,"\"null\"","\"null\"",10:56:31,0,125.32685,0,71,2020-10-23,12565,
